Question Number,Section,Question,Document Embeddings
1,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is Carnegie Mellon University's stated vision as described in the Student Handbook?,
2,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What are the three primary goals outlined in Carnegie Mellon's mission statement?,
3,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)","According to CMU's mission, what four areas of student development does the university focus on?",
4,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What does the Carnegie Mellon Code state about the standards students are expected to meet?,
5,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)","According to the CMU Code, what must students do with commitments once undertaken?",
6,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What does the Carnegie Mellon Code say about students who cannot meet the community's standards?,
7,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",How does the CMU Code describe the relationship between individual privacy and community impact?,
8,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What does the CMU Code say about the importance of acknowledging the creativity of others?,
9,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",How does the CMU Code connect honesty to the existence of an academic community?,
10,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is Carnegie Mellon's legal status as described in its Articles of Incorporation?,
11,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",In what city is Carnegie Mellon University incorporated and located according to its founding articles?,
12,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What kind of education does Carnegie Mellon's founding charter describe it as providing?,
13,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What role does the Board of Trustees play in Carnegie Mellon's governance structure?,
14,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",Who is designated as the chief executive officer of Carnegie Mellon University?,
15,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What are the two direct responsibilities explicitly assigned to the Board of Trustees?,
16,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is the primary responsibility of Carnegie Mellon's administrative officers?,
17,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What duty do administrative officers have regarding campus climate?,
18,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is described as the faculty's primary responsibility at Carnegie Mellon?,
19,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is the duty of all faculty members with respect to conducting their courses?,
20,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What criteria must a student meet to be admitted to and remain at Carnegie Mellon?,
21,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What is the purpose of advisory boards at Carnegie Mellon's academic departments?,
22,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",How does Carnegie Mellon describe itself in terms of institutional independence?,
23,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What does Carnegie Mellon depend on to maintain its independence and flexibility?,
24,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",What are the primary sources of funds that Carnegie Mellon depends upon?,
25,"SECTION 1: VISION, MISSION & CMU CODE (Q1–Q25)",Where can the detailed regulations governing CMU's academic policies be found?,
26,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does Carnegie Mellon's Statement on Academic Integrity identify as its first step?,
27,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What are the five principles that define academic integrity at Carnegie Mellon?,
28,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the Academic Integrity Policy state about a student's responsibility for their own work?,
29,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),Under what condition is collaboration or assistance on graded work permitted?,
30,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What two university centers may students use for academic assistance by default?,
31,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is required when a student uses the Student Academic Success Center for help?,
32,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is required when citation of all sources in graded academic work?,
33,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),When must citation and acknowledgment of collaboration be incorporated into submitted work?,
34,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is a student's duty when they do not understand the standards for a particular course?,
35,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the instructor's duty regarding expectations for collaboration in a course?,
36,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"Define ""cheating"" as stated in the CMU Academic Integrity Policy.",
37,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),List three specific examples of cheating as described in the policy.,
38,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the definition of plagiarism as stated in the CMU Academic Integrity Policy?,
39,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),List four types of sources that must be properly attributed to avoid plagiarism.,
40,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""unauthorized assistance"" mean under the CMU Academic Integrity Policy?",
41,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),Give three examples of unauthorized assistance as outlined in the policy.,
42,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),Is it permissible to submit previously completed graded work for a second course without permission?,
43,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),Who oversees periodic review of Academic Disciplinary Action Procedures?,
44,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),With whom does the Dean of Student Affairs consult when reviewing these procedures?,
45,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),Are additional academic integrity guidelines possible at the college or department level?,
46,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""honesty and good faith"" mean in the context of CMU's academic community?",
47,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""clarity in communication of core values"" require of CMU community members?",
48,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""professional conduct of work"" require of CMU faculty?",
49,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How does CMU's integrity policy describe the role of grades in relation to the student experience?,
50,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""mutual trust and respect"" require in the campus community?",
51,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What does ""fairness and exemplary behavior"" require of faculty in the classroom?",
52,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does CMU say about treating integrity violations as purely punitive?,
53,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How is academic integrity described as more than simply punishing plagiarism?,
54,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about the graduate student's development as researcher and professional?,
55,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What responsibility does faculty have regarding ethics in research?,
56,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What distinguishes professionalism in one's discipline from professionalism as a university member?,
57,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the role of staff and administrators in upholding academic integrity?,
58,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What standards are students responsible for in conducting their academic work?,
59,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about the university's expectations going beyond simple legal compliance?,
60,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the relationship between integrity and the moral authority of the university?,
61,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What are the three primary goals mentioned in the academic integrity section's mission discussion?,
62,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy identify as central to the interaction between students and instructors?,
63,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What can create unnecessary suspicions about integrity when not communicated openly?,
64,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say universities must do when conflicts concerning integrity arise?,
65,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What makes the CMU degree highly respected, according to the CMU Code?",
66,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How does CMU's integrity statement address the university's diverse population?,
67,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy require regarding the discovery and communication of new knowledge?,
68,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How does the policy describe the responsibility of all community members as models?,
69,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What must faculty do beyond providing knowledge and training?,
70,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"Why is grading described as imperative to be fair, accurate and honest?",
71,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How must disputes and cases of alleged infractions be handled differently from general integrity questions?,
72,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about the university's role as a leader in integrity in the larger society?,
73,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What are ""Academic Disciplinary Actions"" as defined in the handbook?",
74,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What violations trigger academic disciplinary actions?,
75,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What is an ""outcome"" in the context of academic disciplinary actions?",
76,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the relationship between academic disciplinary actions and the community standards process?,
77,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What office manages the Academic Disciplinary Process?,
78,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What resources does the Office of Community Standards and Integrity provide?,
79,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What standards does the policy identify as binding on all academic disciplines?,
80,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What must be communicated to students as part of their professional preparation?,
81,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about the dangers of students valuing grades over learning?,
82,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"How should conflicts of commitment (e.g., time management) be addressed in course settings?",
83,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about students being involved in ongoing research?,
84,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is the proper way to handle alleged infractions under conditions of confidentiality?,
85,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What power do teachers wield in the classroom, and how should it be exercised?",
86,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What does the policy say about sharing facilities fairly among students?,
87,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),What is staff's obligation regarding offering students information and opportunities?,
88,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),How should issues about integrity be viewed when they arise in a changing society?,
89,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"What effect does the commitment of faculty, staff and students to standards have on the CMU degree?",
90,SECTION 2: ACADEMIC INTEGRITY POLICY (Q26–Q90),"According to the integrity statement, what happens when misunderstandings about integrity arise?",
91,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),Under what federal laws are qualified individuals at CMU entitled to reasonable accommodations?,
92,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),How are accommodations for disabilities determined at CMU?,
93,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What documentation is required to receive disability services at CMU?,
94,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),Who must students contact to initiate a request for disability accommodations at CMU?,
95,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What is the phone number for the Director of the Office of Disability Resources?,
96,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What email should students use to contact the Director of Disability Resources?,
97,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What is the name of the Director of the Office of Disability Resources?,
98,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What document does the university provide for students to give to professors regarding disabilities?,
99,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),Are disability accommodations at CMU valid at other institutions?,
100,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),Who bears ongoing responsibility for maintaining disability assistance?,
101,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What is the role of the Office of Disability Resources in relation to the campus community?,
102,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What is the name of the Accessibility Specialist and their phone number?,
103,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),Who serves as Testing Center Proctor in the Office of Disability Resources?,
104,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What email should students use to contact the Testing Center Proctor?,
105,SECTION 3: ASSISTANCE FOR INDIVIDUALS WITH DISABILITIES (Q91–Q105),What does the policy say about information shared with the Office of Disability Resources?,
106,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the stated purpose of CMU's Computing Policy?,
107,SECTION 4: COMPUTING POLICY (Q106–Q155),To whom does CMU's Computing Policy apply?,
108,SECTION 4: COMPUTING POLICY (Q106–Q155),What facilities does the Computing Policy cover?,
109,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the Computing Policy say about behavior beyond the campus on the Internet?,
110,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the fundamental premise of CMU's computing policy regarding shared resources?,
111,SECTION 4: COMPUTING POLICY (Q106–Q155),What happens to a user's access if they misuse university computing resources?,
112,SECTION 4: COMPUTING POLICY (Q106–Q155),Who should be notified if a user suspects a violation of computer use policies?,
113,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the email address for reporting information security violations at CMU?,
114,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the first responsibility of users regarding account security?,
115,SECTION 4: COMPUTING POLICY (Q106–Q155),What should a user do if they believe someone has made unauthorized use of their account?,
116,SECTION 4: COMPUTING POLICY (Q106–Q155),What must users respect regarding copyright agreements and intellectual property?,
